,bin0,bin1,bin2,bin3,bin4
17.8480,"[-1.5402272482802057, 0.1956997928302562, -0.1862047410716861, -0.056090269106659825, -0.09461501700107186]","[-1.248501825538592, 0.11449510330681545, -0.056090269106659825, -0.016811782621154243, -0.03379664577216477]","[-1.118543731946918, 0.10955342138728784, -0.016811782621154243, 0.013887296132699465, -0.0016781006345967272]","[-0.9897942137292116, 0.0932740755869116, 0.013887296132699465, 0.04525773345406949, 0.028423475786213553]","[-0.8127878980504322, 0.11957820613536234, 0.04525773345406949, 0.23693923263242608, 0.08243089523995696]"
17.2150,"[-1.4269997027255403, 0.1991217629972631, -0.19172188392338366, -0.05792910730536256, -0.09768587070788158]","[-1.1341682439973175, 0.11251436860955877, -0.05792910730536256, -0.017375798442513576, -0.03496895469626079]","[-1.0071749448608336, 0.101697530017781, -0.017375798442513576, 0.013938033357756549, -0.0018096797062196034]","[-0.8849514102716894, 0.08512052669796681, 0.013938033357756549, 0.046406627781982714, 0.029194809195411307]","[-0.718303821705407, 0.1083564984922163, 0.046406627781982714, 0.2434374559641858, 0.08476872670848387]"
16.6330,"[-1.3211933976027055, 0.20006303648384977, -0.1970655421875561, -0.06003114509594497, -0.10064936605302152]","[-1.0312480761528924, 0.10556559366757544, -0.06003114509594497, -0.017942371372118807, -0.036091254336977234]","[-0.9064017444233778, 0.09585934300370329, -0.017942371372118807, 0.014280456089039478, -0.0019324547322383191]","[-0.7911412567934835, 0.0796369373597354, 0.014280456089039478, 0.04776391201750487, 0.029939434762979177]","[-0.6303229744274652, 0.10183829530615546, 0.04776391201750487, 0.24941855328389903, 0.08698471966169721]"
16.0950,"[-1.2263782314155118, 0.19772157990356423, -0.2022189203606331, -0.061906162208601324, -0.10350267554720431]","[-0.9374636827810995, 0.0996601453039949, -0.061906162208601324, -0.01843160231294415, -0.03716878101784617]","[-0.817477422002484, 0.08953041752946082, -0.01843160231294415, 0.014644092109489951, -0.0020427502646627274]","[-0.7095362616013549, 0.0732202936494517, 0.014644092109489951, 0.04903936449245566, 0.03064386947079174]","[-0.5626220250896629, 0.0945820257692682, 0.04903936449245566, 0.2549754379044716, 0.08906072569999038]"
15.5960,"[-1.1373484677787677, 0.19544270384863877, -0.20716829807422316, -0.06329531596244817, -0.10623692725094773]","[-0.8539408229198491, 0.0939908311529714, -0.06329531596244817, -0.019023358823191717, -0.03819531060506543]","[-0.7425949840953469, 0.08538968884507088, -0.019023358823191717, 0.015162118013564858, -0.002137197171048271]","[-0.6389525644733062, 0.0702311725426299, 0.015162118013564858, 0.05005039238041855, 0.03132409985769422]","[-0.4972642841737026, 0.09226790460158076, 0.05005039238041855, 0.26043579613731477, 0.09104291830093719]"
15.1320,"[-1.052605078211129, 0.19050170853350928, -0.21188887620457106, -0.06468087067548664, -0.10887573994862038]","[-0.7774479151883044, 0.09234038277363683, -0.06468087067548664, -0.019481934056218085, -0.03918875037608278]","[-0.6692340670464925, 0.08331883065085277, -0.019481934056218085, 0.015448404743238681, -0.0022208013244366504]","[-0.5699177532406526, 0.06982849776176643, 0.015448404743238681, 0.05110338288011572, 0.03197893402651567]","[-0.43591686222865716, 0.08938785272681124, 0.05110338288011572, 0.26538470568050326, 0.0929373564295444]"
14.6990,"[-0.9716449232005053, 0.19005547414435156, -0.2164150101760518, -0.06654178220467542, -0.11143071907464643]","[-0.7052849346059978, 0.08699871932774371, -0.06654178220467542, -0.01981760111454749, -0.04015626162571339]","[-0.6004800758326659, 0.08072838271435986, -0.01981760111454749, 0.015733707803558608, -0.0023073652142480473]","[-0.5046525574555144, 0.07097036769800706, 0.015733707803558608, 0.05233797428737908, 0.0325941120088123]","[-0.37721996396238444, 0.08938340225490506, 0.05233797428737908, 0.27033965984901837, 0.09474204130345688]"
14.2940,"[-0.9021472873197149, 0.1840560928862093, -0.22077470008309852, -0.0680104220387389, -0.11388667981097744]","[-0.6437646410609655, 0.07970209725993083, -0.0680104220387389, -0.02017603822604641, -0.04107837893456822]","[-0.5426782436360974, 0.07518941588538486, -0.02017603822604641, 0.016038462188194397, -0.0023841839869322558]","[-0.45583790836961663, 0.06213002256232138, 0.016038462188194397, 0.05354970465273992, 0.03318433434617441]","[-0.3349907596712546, 0.08152849471208914, 0.05354970465273992, 0.2743386376645846, 0.09642552619022855]"
13.9140,"[-0.8375113310532186, 0.17664664364073096, -0.22495633897519585, -0.06932970284839454, -0.1162514687471155]","[-0.5889793652095386, 0.07507773767498187, -0.06932970284839454, -0.020501928826963757, -0.04196068852435138]","[-0.49229682837643823, 0.07735518975049484, -0.020501928826963757, 0.016096954401473736, -0.0024550863433949123]","[-0.40914258594224057, 0.06735957338326902, 0.016096954401473736, 0.054741063345684966, 0.03375237533154618]","[-0.29199465693558546, 0.09001717602025414, 0.054741063345684966, 0.2788782897201931, 0.09804321854418273]"
13.5570,"[-0.7727056538685655, 0.16944606530713105, -0.2290111899718266, -0.07068691457765083, -0.1185677906797158]","[-0.530281311440628, 0.07777939214115884, -0.07068691457765083, -0.020989327931792992, -0.04282786457386836]","[-0.43709033460543706, 0.0713282734019888, -0.020989327931792992, 0.016335567328789373, -0.0025299157946151586]","[-0.3573296627369001, 0.06435061122426172, 0.016335567328789373, 0.05571325541317297, 0.03431276791313519]","[-0.24680718416215255, 0.0793195529361843, 0.05571325541317297, 0.2829184407676377, 0.09962042091506267]"
13.2210,"[-0.7152635749816533, 0.165554141771955, -0.23289696882053518, -0.07201893239384727, -0.12080964663904827]","[-0.48140304945666423, 0.07327744897521192, -0.07201893239384727, -0.021365863879749432, -0.04367983349496345]","[-0.3880001211436797, 0.07604777140689405, -0.021365863879749432, 0.016337245755287864, -0.002603463347454329]","[-0.31329656026845354, 0.06777794667444179, 0.016337245755287864, 0.057004830237291824, 0.034830937957306685]","[-0.20464339949426058, 0.0846237507190479, 0.057004830237291824, 0.28752420663575323, 0.10115113040261232]"
12.9030,"[-0.6660717542044507, 0.16075308640138244, -0.2366346582579966, -0.07323477124386561, -0.12297743334102515]","[-0.43965014322280976, 0.07003794823521203, -0.07323477124386561, -0.021809928094792857, -0.044491271691763104]","[-0.35098245445204074, 0.06967775249509175, -0.021809928094792857, 0.01652402920990445, -0.0026700781776872566]","[-0.27698337421262104, 0.06381447791730732, 0.01652402920990445, 0.05763132988008343, 0.0353331123243403]","[-0.16926002810146626, 0.0846325106653308, 0.05763132988008343, 0.2901376595141228, 0.10259856362164844]"
12.6030,"[-0.6205033029081574, 0.15510481584852776, -0.24023861968586813, -0.07448211420680667, -0.12507282020401275]","[-0.40264997227866695, 0.06994041014487075, -0.07448211420680667, -0.021864222320237964, -0.04526971899578066]","[-0.3166549167929726, 0.06673428804502089, -0.021864222320237964, 0.016628039435504376, -0.0027237059389632924]","[-0.24434386676175043, 0.0655831196921173, 0.016628039435504376, 0.05838452147952204, 0.03582710530463242]","[-0.14058737912374691, 0.08512615702987375, 0.05838452147952204, 0.2951715308287706, 0.10401583520768565]"
