,bin0,bin1,bin2,bin3,bin4
12.3180,"[-0.5775539808936714, 0.15099756377268125, -0.24371913471008302, -0.07557067325923747, -0.12709814793244875]","[-0.36853959658672164, 0.06639404759859152, -0.07557067325923747, -0.022311709538368796, -0.046021088481618976]","[-0.2884248259866, 0.06303612727662102, -0.022311709538368796, 0.01674296830910316, -0.002781194977412661]","[-0.21835043169472093, 0.061510461615254246, 0.01674296830910316, 0.05923545805205699, 0.03629212501709381]","[-0.11531989405687965, 0.08501452614840962, 0.05923545805205699, 0.2994315025254666, 0.10536151836636919]"
12.0480,"[-0.5332112214817287, 0.14703674350415555, -0.2472354482162068, -0.07700377292757474, -0.12914971998230163]","[-0.32848131081703574, 0.06685100195335694, -0.07700377292757474, -0.02253266446265342, -0.046803663869358025]","[-0.24906712377145418, 0.06719964985959079, -0.02253266446265342, 0.016842299618722925, -0.0028512013846413555]","[-0.1792842996689964, 0.0637734742852013, 0.016842299618722925, 0.05973758027907338, 0.036745756131094466]","[-0.08073062001358827, 0.08110281602013064, 0.05973758027907338, 0.3036211633653543, 0.10670801803582654]"
11.7910,"[-0.4940284768463379, 0.14159408399337153, -0.25059812061538606, -0.07808288821216003, -0.13109239551822413]","[-0.29895648768573124, 0.06968258467276348, -0.07808288821216003, -0.02292618323289417, -0.047537920760443796]","[-0.21968860267616405, 0.06726610355280675, -0.02292618323289417, 0.016893959785227224, -0.0028974246591436147]","[-0.1518724360697788, 0.06380145593798356, 0.016893959785227224, 0.06037194078718274, 0.037192164270230206]","[-0.05335874369570046, 0.0826669535868025, 0.06037194078718274, 0.30605822270710653, 0.10797180430853041]"
11.5460,"[-0.46088996246136205, 0.1404949847100471, -0.25393383237517214, -0.07927183704799448, -0.13302135267380993]","[-0.26670127075457434, 0.06741484757019241, -0.07927183704799448, -0.023206067955323477, -0.048272390643651804]","[-0.19249125312133816, 0.06952048633967363, -0.023206067955323477, 0.017206475479755207, -0.00297441675998618]","[-0.12557177157022806, 0.06607648967138934, 0.017206475479755207, 0.06106343195431489, 0.03760017805941903]","[-0.02513280215883275, 0.08454643804164107, 0.06106343195431489, 0.3094335347290152, 0.10923591508819248]"
11.3130,"[-0.422665220223614, 0.136513720149542, -0.2571994485203168, -0.0803779350313359, -0.1349065564368035]","[-0.23634489491606553, 0.07063291335822111, -0.0803779350313359, -0.02347428894516604, -0.04898854355053043]","[-0.16407987669132945, 0.06841692771096705, -0.02347428894516604, 0.017479301395539708, -0.003038160943810544]","[-0.09870613309419661, 0.06831852525206536, 0.017479301395539708, 0.06152340618789593, 0.03800254132748401]","[-0.0024518449767973213, 0.08710864247028105, 0.06152340618789593, 0.314549508368474, 0.1104787996007176]"
11.0900,"[-0.3972212026837886, 0.13137034578481158, -0.26030369156871463, -0.08182286298281898, -0.13672581124520092]","[-0.2148654797884678, 0.0661259402321718, -0.08182286298281898, -0.02391701768926888, -0.04968098925944196]","[-0.1420111156607133, 0.06781083255971074, -0.02391701768926888, 0.017825657720343953, -0.003088532987186869]","[-0.0785959635618535, 0.06638026328144646, 0.017825657720343953, 0.06227959886982796, 0.03841219670026154]","[0.014144574925510666, 0.0810547635633138, 0.06227959886982796, 0.3157736783437803, 0.1116313647002649]"
10.8770,"[-0.3591586076802122, 0.13815364216364112, -0.2633322901584258, -0.0829826993492557, -0.13847319331350305]","[-0.196352521601165, 0.06279953095675261, -0.0829826993492557, -0.024286146733070314, -0.05035876494427858]","[-0.12597092535862023, 0.06603858205332563, -0.024286146733070314, 0.018040543723885562, -0.003160246322634555]","[-0.06278656251852426, 0.06361876999397378, 0.018040543723885562, 0.06330049094960521, 0.038794005444781406]","[0.03315600815871961, 0.07653164859353041, 0.06330049094960521, 0.31828750265827177, 0.11281775895281762]"
10.6730,"[-0.337004010266225, 0.12529740444113516, -0.2664257485331604, -0.0841097589140943, -0.14035212253849721]","[-0.16715225794876437, 0.06508539077673524, -0.0841097589140943, -0.02433885253461308, -0.05111015478827928]","[-0.09488577366101686, 0.07194935878019168, -0.02433885253461308, 0.01801929901400131, -0.0032704798660193007]","[-0.0311013183241438, 0.06699466914191668, 0.01801929901400131, 0.06388811383202245, 0.03915717569831081]","[0.07000299532619815, 0.08366807633697151, 0.06388811383202245, 0.3225345185083443, 0.11411447905159858]"
10.4780,"[-0.3129934405014056, 0.12082652171266385, -0.26928886557822385, -0.08509223710428516, -0.14209012660198753]","[-0.14345057691696697, 0.06312624848805637, -0.08509223710428516, -0.02446544350311659, -0.051768945674782754]","[-0.0737077547385276, 0.06878274463774475, -0.02446544350311659, 0.018095254980107306, -0.0033393766648822224]","[-0.015607801171937583, 0.0687639162992064, 0.018095254980107306, 0.06446286128671656, 0.03951784940232898]","[0.08167551555818404, 0.08836153811062696, 0.06446286128671656, 0.325720081235291, 0.11521971974329377]"
10.2900,"[-0.2857361528362306, 0.12140590878547017, -0.2721861717533795, -0.08616947654440162, -0.14385355123243793]","[-0.11816984777734521, 0.06970117468552335, -0.08616947654440162, -0.024728858311561453, -0.05246420716509965]","[-0.04909289910433072, 0.07665700401591802, -0.024728858311561453, 0.017979682459613643, -0.0034338489759531063]","[0.009311427630771219, 0.0691230573822495, 0.017979682459613643, 0.06493539213100841, 0.03987191759056483]","[0.11026900048039584, 0.09419813227053142, 0.06493539213100841, 0.3335845833001727, 0.11643631983728364]"
10.1100,"[-0.26147875623678063, 0.11665547252295241, -0.27499855381324895, -0.0870432739931786, -0.14552223982484475]","[-0.096514602421533, 0.06856500048382697, -0.0870432739931786, -0.02501003315982282, -0.05308360189268907]","[-0.03244175877861093, 0.0725009695449445, -0.02501003315982282, 0.018044812100815582, -0.003503699455549564]","[0.027425266604831106, 0.06969712843850948, 0.018044812100815582, 0.06522406332996926, 0.04025438791012028]","[0.12104591549017919, 0.08775163623900749, 0.06522406332996926, 0.3337585094272405, 0.11745315180546487]"
9.9380,"[-0.2397260852560105, 0.1176758303094345, -0.2778232235744793, -0.08782295603586113, -0.1472308473562629]","[-0.08151756015820377, 0.06801379623310232, -0.08782295603586113, -0.025410623805571738, -0.05380645694614267]","[-0.015515357253266969, 0.07260876812192309, -0.025410623805571738, 0.018434407019180057, -0.00364674725607487]","[0.0450920309070022, 0.07193688753144517, 0.018434407019180057, 0.06585256117503516, 0.04056792741191147]","[0.14055495888187772, 0.0941681526312989, 0.06585256117503516, 0.3393208132057071, 0.11861214586822949]"
